Id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
2135,44.0,Private,81853.0,HS-grad,9.0,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States
15639,21.0,,306114.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,,20.0,United-States
29059,36.0,Private,186110.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States
27523,30.0,Self-emp-not-inc,,Assoc-voc,11.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,49.0,United-States
9280,42.0,,133584.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,El-Salvador
21598,24.0,Private,291407.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States
28780,21.0,Local-gov,193130.0,Some-college,,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States
13383,32.0,,195447.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States
11015,35.0,Private,143058.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,60.0,United-States
3180,30.0,Local-gov,326104.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,,Male,0.0,0.0,40.0,United-States
12753,55.0,Private,171015.0,HS-grad,9.0,Widowed,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States
1541,62.0,Private,162245.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1628.0,70.0,United-States
24235,33.0,Private,173248.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Black,Male,,0.0,35.0,United-States
4616,36.0,Private,130926.0,Bachelors,13.0,Divorced,Adm-clerical,Not-in-family,White,Female,3674.0,0.0,40.0,United-States
