Id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
15977,44.0,Private,222978.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,1504.0,40.0,United-States,low
13574,32.0,Private,83253.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,60.0,United-States,low
23210,30.0,Local-gov,327825.0,HS-grad,9.0,Divorced,Protective-serv,Own-child,White,Female,0.0,0.0,32.0,United-States,low
9284,23.0,Private,109952.0,Some-college,10.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,60.0,United-States,low
8841,54.0,Local-gov,204325.0,Some-college,10.0,Married-civ-spouse,Protective-serv,,White,Male,0.0,0.0,52.0,United-States,low
7734,21.0,Private,70261.0,Some-college,,Never-married,Other-service,Own-child,White,Male,0.0,0.0,30.0,United-States,low
473,30.0,,303990.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,United-States,low
5923,42.0,Private,110028.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,,40.0,United-States,low
7095,37.0,Self-emp-not-inc,24106.0,HS-grad,9.0,,Tech-support,Husband,White,Male,0.0,0.0,30.0,United-States,low
9689,56.0,Self-emp-not-inc,125147.0,10th,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,60.0,United-States,low
6528,63.0,Self-emp-not-inc,125178.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,high
17385,,State-gov,119421.0,HS-grad,9.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,,35.0,United-States,low
24657,24.0,Private,283092.0,11th,7.0,Never-married,,Not-in-family,Black,Male,0.0,0.0,35.0,Jamaica,low
29179,,Private,284317.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,35.0,United-States,low
26539,59.0,State-gov,159472.0,9th,5.0,Married-civ-spouse,Transport-moving,Husband,White,Male,,0.0,40.0,United-States,low
9797,47.0,Self-emp-inc,168191.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,,0.0,40.0,United-States,low
2781,61.0,Private,183735.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,high
17582,48.0,Self-emp-inc,,Some-college,10.0,Never-married,Craft-repair,Not-in-family,,Male,0.0,0.0,45.0,United-States,low
12433,41.0,Private,203761.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,high
18179,26.0,Private,152452.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,,low
6435,40.0,Private,205175.0,HS-grad,9.0,,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,37.0,United-States,low
30121,37.0,Private,356824.0,,9.0,Separated,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States,low
17073,43.0,,72887.0,Bachelors,13.0,Married-spouse-absent,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,low
58,41.0,Private,147372.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,48.0,United-States,low
9957,39.0,Private,149943.0,Masters,14.0,Never-married,Sales,,Asian-Pac-Islander,Male,0.0,0.0,40.0,China,low
23641,55.0,State-gov,296991.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,40.0,United-States,high
22271,56.0,,66356.0,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,,United-States,low
9899,65.0,Private,243569.0,Some-college,10.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,24.0,United-States,low
25158,55.0,Private,171467.0,HS-grad,9.0,Divorced,Craft-repair,Unmarried,Black,Male,0.0,0.0,48.0,United-States,high
10689,25.0,Private,135568.0,,5.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,low
4918,41.0,Self-emp-not-inc,443508.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,,50.0,United-States,low
21665,29.0,Private,238680.0,Some-college,10.0,Never-married,,Not-in-family,Black,Male,0.0,0.0,55.0,Outlying-US(Guam-USVI-etc),low
2842,33.0,State-gov,79580.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40.0,United-States,low
2254,63.0,Self-emp-inc,215833.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,,White,Male,0.0,0.0,40.0,United-States,high
7957,26.0,Private,212304.0,7th-8th,4.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,48.0,,low
25214,28.0,Private,270973.0,Assoc-acdm,12.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,low
22255,25.0,Private,143267.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,48.0,United-States,low
19958,19.0,Private,199495.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,low
2478,69.0,Self-emp-inc,69209.0,Bachelors,13.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3818.0,0.0,30.0,United-States,low
13677,70.0,,347910.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,,Male,0.0,0.0,35.0,United-States,low
27869,26.0,Private,192208.0,HS-grad,9.0,Never-married,Protective-serv,Not-in-family,Black,Female,0.0,0.0,32.0,United-States,low
6206,40.0,Private,323790.0,Some-college,10.0,,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,low
8192,45.0,Self-emp-not-inc,160962.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,low
28113,21.0,Private,252253.0,Some-college,10.0,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,low
13730,,Private,170850.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,44.0,,high
20558,24.0,,327518.0,Assoc-voc,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,low
28848,35.0,Private,289106.0,Assoc-acdm,12.0,Separated,Sales,Unmarried,White,Male,0.0,0.0,40.0,United-States,low
24134,38.0,Private,,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,50.0,United-States,high
23566,19.0,Private,101549.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,,15.0,United-States,low
1427,,Private,297847.0,9th,5.0,Married-civ-spouse,Other-service,Wife,Black,Female,3411.0,,34.0,United-States,low
